#body,head,ruleId,isAgg,isTx
msgSender,setApprovedForAll,0,false,true
now,transfer,1,false,true
msgSender,transfer,1,false,true
owner,transfer,1,false,true
exists,transfer,1,false,true
approval,approved,2,false,false
ownerOf,approved,2,false,false
setApprovedForAll,isApprovedForAll,3,false,false
ownerOf,balanceOf,4,true,false
now,transfer,5,false,true
approved,transfer,5,false,true
setApproval,approval,6,false,false
now,transfer,7,false,true
ownerOf,transfer,7,false,true
msgSender,transfer,7,false,true
isApprovedForAll,transfer,7,false,true
ownerOf,setApproval,8,false,true
msgSender,setApproval,8,false,true
latestTransfer,ownerOf,9,false,false
exists,tokenNoOwner,10,false,false
ownerOf,tokenNoOwner,10,false,false
now,transfer,11,false,true
msgSender,transfer,11,false,true
ownerOf,transfer,11,false,true
latestTransfer,exists,13,false,false
exists,transfer,14,false,true
msgSender,transfer,14,false,true
now,transfer,14,false,true
owner,transfer,14,false,true
ownerOf,transfer,14,false,true
transfer,latestTransfer,15,true,false
