#body,head,ruleId,isAgg,isTx
release,released,0,true,false
release,send,1,false,false
beneficiary,send,1,false,false
now,earlyRelease,2,false,false
start,earlyRelease,2,false,false
released,earlyRelease,2,false,false
now,release,3,false,true
thisBalance,release,3,false,true
released,release,3,false,true
duration,release,3,false,true
start,release,3,false,true
now,release,7,false,true
start,release,7,false,true
thisBalance,release,7,false,true
duration,release,7,false,true
released,release,7,false,true
